City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
151,East London,-33.0153,27.9116,65.34,clear sky,72,0,12.66,ZA
152,Cape Town,-33.9258,18.4232,60.12,light rain,78,75,3.0,ZA
153,Tuktoyaktuk,69.4541,-133.0374,23.0,broken clouds,100,75,5.75,CA
154,Mount Gambier,-37.8333,140.7667,51.71,broken clouds,93,75,6.91,AU
155,Bojnurd,37.4747,57.329,44.55,clear sky,57,0,4.61,IR
156,Yarmouth,41.7057,-70.2286,73.45,scattered clouds,78,40,8.99,US
157,Dicabisagan,17.0818,122.4157,76.77,broken clouds,90,69,5.35,PH
158,Lamu,-2.2717,40.902,80.82,broken clouds,77,58,11.92,KE
159,Severo-Kurilsk,50.6789,156.125,37.13,scattered clouds,75,45,10.67,RU
160,Ituango,7.1712,-75.764,69.08,overcast clouds,88,95,1.32,CO
161,Cidreira,-30.1811,-50.2056,71.78,clear sky,62,0,7.83,BR
162,Lompoc,34.6391,-120.4579,63.01,clear sky,91,1,3.44,US
163,Tessalit,20.1986,1.0114,94.77,clear sky,16,3,9.86,ML
164,Choix,26.7092,-108.3219,88.75,clear sky,31,0,1.25,MX
165,Cabot,34.9745,-92.0165,67.57,clear sky,58,1,5.75,US
166,Shelburne,44.0787,-80.2041,42.67,broken clouds,80,79,8.75,CA
167,Rajapur,25.3833,81.15,75.27,clear sky,55,0,4.09,IN
168,Bereda,43.2686,-7.5406,61.0,scattered clouds,88,33,5.86,ES
169,Nuuk,64.1835,-51.7216,32.61,sand,55,1,32.21,GL
170,Qaqortoq,60.7167,-46.0333,36.1,light rain,95,100,7.16,GL
171,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,few clouds,68,20,4.47,RU
172,Takoradi,4.8845,-1.7554,81.37,light rain,78,93,11.45,GH
173,Faanui,-16.4833,-151.75,78.01,light rain,79,12,8.81,PF
174,Nago,26.5881,127.9761,73.56,overcast clouds,57,99,13.56,JP
175,Inhambane,-23.865,35.3833,75.18,scattered clouds,69,40,17.27,MZ
176,Kahului,20.8947,-156.47,75.85,few clouds,78,20,3.44,US
177,Kalmunai,7.4167,81.8167,80.04,few clouds,83,14,7.18,LK
178,Richards Bay,-28.783,32.0377,76.23,overcast clouds,64,93,15.37,ZA
179,Christchurch,-43.5333,172.6333,52.95,overcast clouds,74,100,1.99,NZ
180,Saskylakh,71.9167,114.0833,-0.83,overcast clouds,99,100,2.51,RU
181,Lorengau,-2.0226,147.2712,80.62,overcast clouds,80,95,9.69,PG
182,Pathein,16.7833,94.7333,74.95,overcast clouds,94,97,3.65,MM
